movie_name,user_name,rating,genre
Xứ Cát,grantss,4,"Action, Adventure, Sci-Fi"
Xứ Cát,Boba_Fett1138,7,"Action, Adventure, Sci-Fi"
Xứ Cát,view_and_review,7,"Action, Adventure, Sci-Fi"
Xứ Cát,neil-476,7,"Action, Adventure, Sci-Fi"
Biệt Đội Săn Ma,TheLittleSongbird,8,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,bkoganbing,9,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,Leofwine_draca,10,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,SnoopyStyle,9,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,Hitchcoc,9,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,Horst_In_Translation,6,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,mark.waltz,8,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,classicsoncall,8,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,gavin6942,8,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,lee_eisenberg,10,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,jboothmillard,8,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,Woodyanders,10,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,ccthemovieman-1,9,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,Tweekums,9,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,ma-cortes,7,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,BA_Harrison,6,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,paul_haakonsen,7,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,Quinoa1984,10,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,BandSAboutMovies,8,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,Coventry,6,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,studioAT,3,"Action, Comedy, Fantasy"
Biệt Đội Săn Ma,sunwarrior13,10,"Action, Comedy, Fantasy"
Góa Phụ Đen,SnoopyStyle,8,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,boblipton,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,Prismark10,6,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,nogodnomasters,8,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,kosmasp,9,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,classicsoncall,8,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,jboothmillard,8,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,paul_haakonsen,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,CinemaSerf,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,preppy-3,6,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,Calicodreamin,6,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,TBJCSKCNRRQTreviews,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,neil-476,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,AlsExGal,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,morrison-dylan-fan,8,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,trashgang,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,siderite,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,lasttimeisaw,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,thesar-2,4,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,cherold,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,FeastMode,7,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,Pjtaylor-96-138044,6,"Action, Adventure, Sci-Fi"
Góa Phụ Đen,dromasca,5,"Action, Adventure, Sci-Fi"
Trận Đấu Cuối Cùng,Horst_In_Translation,6,"Action, Drama, History"
Trận Đấu Cuối Cùng,kosmasp,10,"Action, Drama, History"
Trận Đấu Cuối Cùng,CinemaSerf,7,"Action, Drama, History"
Trận Đấu Cuối Cùng,mm-39,8,"Action, Drama, History"
Trận Đấu Cuối Cùng,jdesando,9,"Action, Drama, History"
Trận Đấu Cuối Cùng,dromasca,8,"Action, Drama, History"
Trận Đấu Cuối Cùng,UniqueParticle,9,"Action, Drama, History"
Trận Đấu Cuối Cùng,cruise01,7,"Action, Drama, History"
Trận Đấu Cuối Cùng,eddie_baggins,8,"Action, Drama, History"
Trận Đấu Cuối Cùng,Tweetienator,7,"Action, Drama, History"
Trận Đấu Cuối Cùng,JoBloTheMovieCritic,8,"Action, Drama, History"
Trận Đấu Cuối Cùng,stevendbeard,7,"Action, Drama, History"
Trận Đấu Cuối Cùng,pixrox1,8,"Action, Drama, History"
Trận Đấu Cuối Cùng,arthur_tafero,6,"Action, Drama, History"
Trận Đấu Cuối Cùng,masonsaul,9,"Action, Drama, History"
Trận Đấu Cuối Cùng,davidmvining,8,"Action, Drama, History"
Trận Đấu Cuối Cùng,rgkarim,8,"Action, Drama, History"
Trận Đấu Cuối Cùng,valadas,7,"Action, Drama, History"
Trận Đấu Cuối Cùng,Johnny-the-Film-Sentinel-2187,8,"Action, Drama, History"
Trận Đấu Cuối Cùng,Jeremy_Urquhart,9,"Action, Drama, History"
Trận Đấu Cuối Cùng,Anurag-Shetty,9,"Action, Drama, History"
Trận Đấu Cuối Cùng,bankofmarquis,6,"Action, Drama, History"
Suicide Squad: Điệp Vụ Cảm Tử,SnoopyStyle,8,"Action, Adventure, Comedy"
Suicide Squad: Điệp Vụ Cảm Tử,Prismark10,8,"Action, Adventure, Comedy"
